Species,id,Super_class,Order,Family,Genus,IUCN_Red_List_Category,Common_length,Vertical_Distribution,Vulnerability,LRFI,SHarK,DP,B,GF,all_commercial_level,highly_commercial_only,Fishbase_link
Dagetichthys lusitanicus,47,osteichthyen,Pleuronectiformes,Soleidae,Dagetichthys,NA,30,Demersal,45.62,1,0,1,0,1,1,0,http://fishbase.org/summary/Synaptura-lusitanica+lusitanica.html
Dalatias licha,514,chondrichtyen,Squaliformes,Dalatiidae,Dalatias,VU,150,Demersal,65.06,1,1,1,0,0,1,0,http://fishbase.org/summary/Dalatias-licha.html
Dalophis imberbis,559,osteichthyen,Anguilliformes,Ophichthidae,Dalophis,NA,110,Benthic,65.42,1,0,0,1,2,1,0,http://fishbase.org/summary/Dalophis-imberbis.html
Dasyatis pastinaca,2060,chondrichtyen,Rajiformes,Dasyatidae,Dasyatis,VU,100,Demersal,72.75,1,1,1,0,0,1,0,https://www.fishbase.de/summary/2060
Dasyatis tortonesei,63,chondrichtyen,Rajiformes,Dasyatidae,Dasyatis,DD,65,Benthic,59.38,1,1,0,1,13,1,0,http://fishbase.org/summary/Dasyatis-tortonesei.html
Decapterus russelli,633,osteichthyen,Perciformes,Carangidae,Decapterus,LC,12,Demersal,23.83,1,0,1,0,1,1,0,http://fishbase.org/summary/Decapterus-russelli.html
Deltentosteus collonianus,270,osteichthyen,Perciformes,Gobiidae,Deltentosteus,LC,6.5,Benthic,12.93,0,0,0,1,2,1,0,http://fishbase.org/summary/Deltentosteus-collonianus.html
Deltentosteus quadrimaculatus,271,osteichthyen,Perciformes,Gobiidae,Deltentosteus,NA,7.5,Benthic,30.3,0,0,0,1,2,1,0,http://fishbase.org/summary/Deltentosteus-quadrimaculatus.html
Dentex dentex,272,osteichthyen,Perciformes,Sparidae,Dentex,VU,60,Benthic,66.3,1,0,0,1,0,1,0,http://fishbase.org/summary/Dentex-dentex.html
Dentex gibbosus,273,osteichthyen,Perciformes,Sparidae,Dentex,LC,67.5,Benthic,59.52,1,0,0,1,0,1,0,http://fishbase.org/summary/Dentex-gibbosus.html
Dentex macrophthalmus,274,osteichthyen,Perciformes,Sparidae,Dentex,LC,47.5,Benthic,33.42,1,0,0,1,2,1,0,http://fishbase.org/summary/Dentex-macrophthalmus.html
Dentex maroccanus,275,osteichthyen,Perciformes,Sparidae,Dentex,LC,32.5,Benthic,52.48,1,0,0,1,0,1,0,http://fishbase.org/summary/Dentex-maroccanus.html
Diaphus holti,541,osteichthyen,Myctophiformes,Myctophidae,Diaphus,LC,4.5,Pelagic,29.4,0,0,1,0,3,1,0,http://fishbase.org/summary/Diaphus-holti.html
Diaphus metopoclampus,542,osteichthyen,Myctophiformes,Myctophidae,Diaphus,LC,5,Pelagic,30.36,0,0,1,0,5,1,0,http://fishbase.org/summary/Diaphus-metopoclampus.html
Diaphus rafinesquii,543,osteichthyen,Myctophiformes,Myctophidae,Diaphus,LC,5,Pelagic,33.47,0,0,1,0,3,1,0,http://fishbase.org/summary/Diaphus-rafinesquii.html
Dicentrarchus labrax,276,osteichthyen,Perciformes,Moronidae,Dicentrarchus,LC,80,Demersal,69.14,1,0,1,0,1,1,1,http://fishbase.org/summary/Dicentrarchus-labrax.html
Dicentrarchus punctatus,277,osteichthyen,Perciformes,Moronidae,Dicentrarchus,LC,52.5,Demersal,66.87,1,0,1,0,1,1,0,http://fishbase.org/summary/Dicentrarchus-punctatus.html
Dicologlossa cuneata,278,osteichthyen,Pleuronectiformes,Soleidae,Dicologlossa,LC,27.5,Demersal,31.32,1,0,1,0,1,1,0,http://fishbase.org/summary/Dicologlossa-cuneata.html
Dicologlossa hexophthalma,27,osteichthyen,Pleuronectiformes,Soleidae,Dicologlossa,LC,18,Demersal,28.13,1,0,1,0,1,1,0,http://fishbase.org/summary/Dicologlossa-hexophthalma.html
Didogobius bentuvii,64,osteichthyen,Perciformes,Gobiidae,Didogobius,DD,3.7,Benthic,10,1,0,0,1,4,1,0,http://fishbase.org/summary/Didogobius-bentuvii.html
Didogobius schlieweni,65,osteichthyen,Perciformes,Gobiidae,Didogobius,LC,4.5,Benthic,10,0,0,0,1,4,1,0,http://fishbase.org/summary/Didogobius-schlieweni.html
Didogobius splechtnai,66,osteichthyen,Perciformes,Gobiidae,Didogobius,LC,3.25,Benthic,10,0,0,0,1,4,1,0,http://fishbase.org/summary/Didogobius-splechtnai.html
Diodon hystrix,10,osteichthyen,Tetraodontiformes,Diodontidae,Diodon,LC,50,Demersal,48.2,1,0,1,0,1,1,0,http://fishbase.org/summary/Diodon-hystrix.html
Diogenichthys atlanticus,544,osteichthyen,Myctophiformes,Myctophidae,Diogenichthys,LC,1.5,Pelagic,13.52,0,0,1,0,3,1,0,http://fishbase.org/summary/Diogenichthys-atlanticus.html
Diplecogaster bimaculata,280,osteichthyen,Gobiesociformes,Gobiesocidae,Diplecogaster,LC,4.25,Benthic,35.29,0,0,0,1,2,1,0,http://fishbase.org/summary/Diplecogaster-bimaculata.html
Diplodus annularis,281,osteichthyen,Perciformes,Sparidae,Diplodus,LC,16.5,Benthic,26.96,1,0,0,1,0,1,0,http://fishbase.org/summary/Diplodus-annularis.html
Diplodus bellottii,11,osteichthyen,Perciformes,Sparidae,Diplodus,LC,15,Demersal,35.8,0,0,1,0,1,1,0,http://fishbase.org/summary/Diplodus-bellottii.html
Diplodus cervinus,282,osteichthyen,Perciformes,Sparidae,Diplodus,LC,42.5,Benthic,54.55,1,0,0,1,0,1,0,http://fishbase.org/summary/Diplodus-cervinus+cervinus.html
Diplodus puntazzo,283,osteichthyen,Perciformes,Sparidae,Diplodus,LC,35,Benthic,33.87,1,0,0,1,0,1,0,http://fishbase.org/summary/Diplodus-puntazzo.html
Diplodus sargus,67,osteichthyen,Perciformes,Sparidae,Diplodus,LC,25,Benthic,63.39,1,0,0,1,0,1,0,http://fishbase.org/summary/Diplodus-sargus+sargus.html
Diplodus vulgaris,284,osteichthyen,Perciformes,Sparidae,Diplodus,LC,25,Benthic,48.05,1,0,0,1,0,1,0,http://fishbase.org/summary/Diplodus-vulgaris.html
Dussumieria acuta,285,osteichthyen,Clupeiformes,Clupeidae,Dussumieria,LC,15,Pelagic,13.68,0,0,1,0,5,1,0,http://fishbase.org/summary/Dussumieria-acuta.html
Dussumieria elopsoides,141,osteichthyen,Clupeiformes,Clupeidae,Dussumieria,LC,10,Pelagic,24.38,0,0,1,0,0,1,0,http://fishbase.org/summary/Dussumieria-elopsoides.html
Dysomma brevirostre,562,osteichthyen,Anguilliformes,Synaphobranchidae,Dysomma,LC,NA,Demersal,20.65,1,0,1,0,1,1,0,http://fishbase.org/summary/Dysomma-brevirostre.html
Echelus myrus,560,osteichthyen,Anguilliformes,Ophichthidae,Echelus,LC,90,Benthic,48.74,1,0,0,1,2,1,0,http://fishbase.org/summary/Echelus-myrus.html
Echeneis naucrates,286,osteichthyen,Perciformes,Echeneidae,Echeneis,LC,95,Pelagic,54.09,1,0,1,0,7,1,0,http://fishbase.org/summary/Echeneis-naucrates.html
Echiichthys vipera,287,osteichthyen,Perciformes,Trachinidae,Echiichthys,NA,11,Benthic,32.51,0,0,0,1,2,1,0,http://fishbase.org/summary/Echiichthys-vipera.html
Echinorhinus brucus,515,chondrichtyen,Squaliformes,Squalidae,Echinorhinus,EN,200,Demersal,85.1,1,1,1,0,1,1,0,http://fishbase.org/summary/Echinorhinus-brucus.html
Echiodon dentatus,604,osteichthyen,Ophidiiformes,Carapidae,Echiodon,LC,15,Benthic,10,0,0,0,1,2,1,0,http://fishbase.org/summary/Echiodon-dentatus.html
Encrasicholina punctifer,558,osteichthyen,Clupeiformes,Engraulidae,Encrasicholina,LC,NA,Pelagic,12,0,0,1,0,3,1,0,https://www.fishbase.de/summary/Encrasicholina-punctifer.html
Elagatis bipinnulata,587,osteichthyen,Perciformes,Carangidae,Elagatis,LC,80,Pelagic,50.69,1,0,1,0,5,1,0,http://fishbase.org/summary/Elagatis-bipinnulata.html
Elates ransonnettii,627,osteichthyen,Scorpaeniformes,Platycephalidae,Elates,NA,15,Demersal,21.69,0,0,1,0,1,1,0,http://fishbase.org/summary/Elates-ransonnettii.html
Electrona risso,545,osteichthyen,Myctophiformes,Myctophidae,Electrona,LC,6,Pelagic,10,0,0,1,0,3,1,0,http://fishbase.org/summary/Electrona-risso.html
Enchelycore anatina,12,osteichthyen,Anguilliformes,Muraenidae,Enchelycore,LC,80,Benthic,69.65,1,0,0,1,2,1,0,http://fishbase.org/summary/Enchelycore-anatina.html
Engraulis encrasicolus,68,osteichthyen,Perciformes,Engraulidae,Engraulis,LC,14,Pelagic,24.7,0,0,1,0,3,1,1,http://fishbase.org/summary/Engraulis-encUicolus.html
Entelurus  aequoreus,13,osteichthyen,Syngnathiformes,Syngnathidae,Entelurus,NA,35,Benthic,NA,1,0,0,1,0,1,0,http://fishbase.org/summary/Entelurus-aequoreus.html
Ephippion guttifer,14,osteichthyen,Tetraodontiformes,Tetraodontidae,Ephippion,LC,40,Demersal,49.18,1,0,1,0,1,1,0,http://fishbase.org/summary/Ephippion-guttifer.html
Epigonus constanciae,585,osteichthyen,Perciformes,Apogonidae,Epigonus,LC,16,Demersal,38.02,0,0,1,0,1,1,0,http://fishbase.org/summary/Epigonus-constanciae.html
Epigonus denticulatus,288,osteichthyen,Perciformes,Apogonidae,Epigonus,LC,19,Demersal,31.53,0,0,1,0,1,1,0,http://fishbase.org/summary/Epigonus-denticulatus.html
Epigonus telescopus,289,osteichthyen,Perciformes,Apogonidae,Epigonus,LC,50,Demersal,70.2,1,0,1,0,1,1,0,http://fishbase.org/summary/Epigonus-telescopus.html
Epinephelus aeneus,290,osteichthyen,Perciformes,Serranidae,Epinephelus,NT,90,Demersal,52.39,1,0,1,0,29,1,0,http://fishbase.org/summary/Epinephelus-aeneus.html
Epinephelus caninus,292,osteichthyen,Perciformes,Serranidae,Epinephelus,DD,110,Demersal,87.06,1,0,1,0,14,1,0,http://fishbase.org/summary/Epinephelus-caninus.html
Epinephelus coioides,142,osteichthyen,Perciformes,Serranidae,Epinephelus,LC,70,Demersal,57.51,1,0,1,0,8,1,0,http://fishbase.org/summary/Epinephelus-coioides.html
Epinephelus fasciatus,291,osteichthyen,Perciformes,Serranidae,Epinephelus,LC,85,Demersal,53.43,1,0,1,0,14,1,0,http://fishbase.org/summary/Epinephelus-fasciatus.html
Epinephelus malabaricus,143,osteichthyen,Perciformes,Serranidae,Epinephelus,LC,80,Demersal,40.44,1,0,1,0,0,1,0,http://fishbase.org/summary/Epinephelus-malabaricus.html
Epinephelus marginatus,293,osteichthyen,Perciformes,Serranidae,Epinephelus,VU,90,Demersal,71.52,1,0,1,0,8,1,1,http://fishbase.org/summary/Epinephelus-marginatus.html
Equulites klunzingeri,155,osteichthyen,Perciformes,Leiognathidae,Equulites,NA,8,Demersal,31.84,0,0,1,0,1,1,0,http://fishbase.org/summary/Equulites-klunzingeri.html
Eretmophorus kleinenbergi,577,osteichthyen,Gadiformes,Moridae,Eretmophorus,LC,NA,Demersal,26.92,0,0,1,0,1,1,0,http://fishbase.org/summary/Eretmophorus-kleinenbergi.html
Etmopterus spinax,516,chondrichtyen,Squaliformes,Etmopteridae,Etmopterus,VU,40,Demersal,62.56,1,1,1,0,1,1,0,http://fishbase.org/summary/Etmopterus-spinax.html
Etrumeus sadina,144,osteichthyen,Clupeiformes,Clupeidae,Etrumeus,LC,15,Pelagic,15.77,1,0,1,0,7,1,0,http://fishbase.org/summary/Etrumeus-teres.html
Eutelichthys leptochirus,101,osteichthyen,Scorpaeniformes,Liparidae,Eutelichthys,DD,3,Demersal,10,0,0,1,0,1,1,0,http://fishbase.org/summary/Eutelichthys-leptochirus.html
Euthynnus alletteratus,295,osteichthyen,Perciformes,Scombridae,Euthynnus,LC,80,Pelagic,56.97,1,0,1,0,7,1,0,http://fishbase.org/summary/Euthynnus-alletteratus.html
Eutrigla gurnardus,69,osteichthyen,Scorpaeniformes,Triglidae,Eutrigla,NA,40,Benthic,30.08,1,0,0,1,2,1,0,http://fishbase.org/summary/Eutrigla-gurnardus.html
Evermannella balbo,555,osteichthyen,Aulopiformes,Evermannellidae,Evermannella,LC,6,Pelagic,10.56,0,0,1,0,23,1,0,http://fishbase.org/summary/Evermannella-balbo.html
Exocoetus obtusirostris,566,osteichthyen,Beloniformes,Exocoetidae,Exocoetus,LC,18,Pelagic,12.87,1,0,1,0,7,1,0,http://fishbase.org/summary/Exocoetus-obtusirostris.html
Exocoetus volitans,567,osteichthyen,Beloniformes,Exocoetidae,Exocoetus,LC,22,Pelagic,16.52,1,0,1,0,3,1,0,http://fishbase.org/summary/Exocoetus-volitans.html
Fistularia commersonii,145,osteichthyen,Syngnathiformes,Fistulariidae,Fistularia,LC,100,Demersal,68.33,1,0,1,0,1,1,0,http://fishbase.org/summary/Fistularia-commersonii.html
Fistularia petimba,15,osteichthyen,Syngnathiformes,Fistulariidae,Fistularia,LC,180,Demersal,71,1,0,1,0,1,1,0,http://fishbase.org/summary/Fistularia-petimba.html
Gadella maraldi,578,osteichthyen,Gadiformes,Moridae,Gadella,LC,15,Demersal,40.75,1,0,1,0,1,1,0,http://fishbase.org/summary/Gadella-maraldi.html
Gadiculus argenteus,296,osteichthyen,Gadiformes,Gadidae,Gadiculus,NA,10,Benthic,25.07,0,0,0,1,2,1,0,http://fishbase.org/summary/Gadiculus-argenteus.html
Gaidropsarus biscayensis,212,osteichthyen,Gadiformes,lotidae,Gaidropsarus,NA,12,Demersal,35.72,1,0,1,0,1,1,0,http://fishbase.org/summary/Gaidropsarus-biscayensis.html
Gaidropsarus mediterraneus,297,osteichthyen,Gadiformes,Gadidae,Gaidropsarus,NA,27.5,Benthic,25.91,1,0,0,1,2,1,0,http://fishbase.org/summary/Gaidropsarus-mediterraneus.html
Gaidropsarus vulgaris,298,osteichthyen,Gadiformes,Gadidae,Gaidropsarus,LC,37.5,Benthic,29.85,1,0,0,1,2,1,0,http://fishbase.org/summary/Gaidropsarus-vulgaris.html
Galeocerdo cuvier,16,chondrichtyen,Carcharhiniformes,Carcharhinidae,Galeocerdo,NT,400,Demersal,63.83,1,1,1,0,0,1,0,http://fishbase.org/summary/Galeocerdo-cuvier.html
Galeoides decadactylus,17,osteichthyen,Perciformes,Polynemidae,Galeoides,NT,30,Demersal,31.14,1,0,1,0,1,1,0,http://fishbase.org/summary/Galeoides-decadactylus.html
Galeorhinus galeus,299,chondrichtyen,Carcharhiniformes,Triakidae,Galeorhinus,CR,135,Demersal,73.97,1,1,1,0,0,1,0,http://fishbase.org/summary/Galeorhinus-galeus.html
Galeus melastomus,507,chondrichtyen,Carcharhiniformes,Scyliorhinidae,Galeus,LC,50,Demersal,57.37,1,1,1,0,1,1,0,http://fishbase.org/summary/Galeus-melastomus.html
Gammogobius steinitzi,70,osteichthyen,Perciformes,Gobiidae,Gammogobius,LC,3.75,Benthic,10,0,0,0,1,2,0,0,http://fishbase.org/summary/Gammogobius-steinitzi.html
Gephyroberyx darwinii,18,osteichthyen,Beryciformes,Trachichthyidae,Gephyroberyx,LC,48,Demersal,69.13,1,0,1,0,1,1,0,http://fishbase.org/summary/Gephyroberyx-darwinii.html
Glaucostegus cemiculus,412,chondrichtyen,Rajiformes,Rhinobatidae,Glaucostegus,CR,190,Benthic,NA,1,1,0,1,10,1,0,http://fishbase.org/summary/Rhinobatos-cemiculus.html
Glaucostegus halavi,634,chondrichtyen,Rajiformes,Rhinobatidae,Glaucostegus,CR,90,Demersal,NA,1,1,1,0,1,1,0,http://fishbase.org/summary/Glaucostegus-halavi.html
Glossanodon leioglossus,533,osteichthyen,Osmeriformes,Argentinidae,Glossanodon,LC,8,Demersal,NA,0,0,1,0,1,1,0,http://fishbase.org/summary/Glossanodon-leioglossus.html
Gnathophis mystax,300,osteichthyen,Anguilliformes,Congridae,Gnathophis,LC,50,Benthic,NA,1,0,0,1,2,1,0,http://fishbase.org/summary/Gnathophis-mystax.html
Gobius ater,71,osteichthyen,Perciformes,Gobiidae,Gobius,LC,4.5,Benthic,NA,0,0,0,1,2,1,0,http://fishbase.org/summary/Gobius-ater.html
Gobius auratus,301,osteichthyen,Perciformes,Gobiidae,Gobius,LC,6.5,Benthic,NA,0,0,0,1,2,1,0,http://fishbase.org/summary/Gobius-auratus.html
Gobius bucchichi,302,osteichthyen,Perciformes,Gobiidae,Gobius,LC,8.5,Benthic,NA,0,0,0,1,4,0,0,http://fishbase.org/summary/Gobius-bucchichi.html
Gobius cobitis,303,osteichthyen,Perciformes,Gobiidae,Gobius,NA,22.5,Benthic,NA,1,0,0,1,4,1,0,http://fishbase.org/summary/Gobius-cobitis.html
Gobius couchi,19,osteichthyen,Perciformes,Gobiidae,Gobius,LC,8,Benthic,NA,0,0,0,1,19,1,0,http://fishbase.org/summary/Gobius-couchi.html
Gobius cruentatus,304,osteichthyen,Perciformes,Gobiidae,Gobius,LC,14,Benthic,NA,0,0,0,1,2,0,0,http://fishbase.org/summary/Gobius-cruentatus.html
Gobius fallax,72,osteichthyen,Perciformes,Gobiidae,Gobius,LC,8,Benthic,NA,0,0,0,1,4,1,0,http://fishbase.org/summary/Gobius-fallax.html
Gobius geniporus,73,osteichthyen,Perciformes,Gobiidae,Gobius,LC,13,Benthic,NA,0,0,0,1,4,1,0,http://fishbase.org/summary/Gobius-geniporus.html
Gobius luteus,305,osteichthyen,Perciformes,Gobiidae,Gobius,NA,6.5,Benthic,NA,0,0,0,1,2,1,0,http://fishbase.org/summary/Gobius-niger.html
Gobius niger,306,osteichthyen,Perciformes,Gobiidae,Gobius,LC,12.5,Benthic,NA,0,0,0,1,4,0,0,http://fishbase.org/summary/Gobius-paganellus.html
Gobius paganellus,307,osteichthyen,Perciformes,Gobiidae,Gobius,LC,9,Benthic,NA,0,0,0,1,0,0,0,http://fishbase.org/summary/Gobius-roulei.html
Gobius roulei,308,osteichthyen,Perciformes,Gobiidae,Gobius,LC,6,Benthic,NA,0,0,0,1,2,1,0,http://fishbase.org/summary/Gobius-strictus.html
Gobius strictus,74,osteichthyen,Perciformes,Gobiidae,Gobius,DD,NA,Demersal,NA,0,0,1,0,0,1,0,http://fishbase.org/summary/Gobius-vittatus.html
Gobius vittatus,75,osteichthyen,Perciformes,Gobiidae,Gobius,LC,4.5,Benthic,NA,0,0,0,1,4,1,0,http://fishbase.org/summary/Gobius-xanthocephalus.html
Gobius xanthocephalus,76,osteichthyen,Perciformes,Gobiidae,Gobius,LC,NA,Benthic,NA,0,0,0,1,4,0,0,https://www.fishbase.de/summary/Gobius-xanthocephalus.html
Gonichthys cocco,546,osteichthyen,Myctophiformes,Myctophidae,Gonichthys,LC,4,Pelagic,NA,0,0,1,0,7,1,0,http://fishbase.org/summary/Gonichthys-cocco.html
Gonostoma denudatum,522,osteichthyen,Stomiiformes,Gonostomatidae,Gonostoma,LC,10,Pelagic,NA,0,0,1,0,5,1,0,http://fishbase.org/summary/Gonostoma-denudatum.html
Gouania willdenowi,77,osteichthyen,Gobiesociformes,Gobiesocidae,Gouania,LC,5.5,Benthic,NA,0,0,0,1,2,1,0,http://fishbase.org/summary/Gouania-willdenowi.html
Grammonus ater,93,osteichthyen,Ophidiiformes,Bythitidae,Grammonus,LC,9,Benthic,NA,0,0,0,1,0,1,0,http://fishbase.org/summary/Grammonus-ater.html
Guttigadus latifrons,22,osteichthyen,Gadiformes,Moridae,Guttigadus,NA,NA,Demersal,NA,0,0,1,0,1,1,0,http://fishbase.org/summary/Guttigadus-latifrons.html
Gymnammodytes cicerelus,78,osteichthyen,Perciformes,Ammodytidae,Gymnamodytes,LC,15,Pelagic,NA,0,0,1,0,3,1,0,http://fishbase.org/summary/Gymnammodytes-cicerelus.html
Gymnammodytes semisquamatus,20,osteichthyen,Perciformes,Ammodytidae,Gymnamodytes,LC,20,Demersal,NA,1,0,1,0,0,1,0,http://fishbase.org/summary/Gymnammodytes-semisquamatus.html
Gymnothorax unicolor,309,osteichthyen,Anguilliformes,Muraenidae,Gymnothorax,LC,85,Benthic,NA,1,0,0,1,2,1,0,http://fishbase.org/summary/Gymnothorax-unicolor.html
Gymnura altavela,310,chondrichtyen,Rajiformes,Gymnuridae,Gymnura,EN,350,Benthic,NA,1,1,0,1,11,1,0,http://fishbase.org/summary/Gymnura-altavela.html
Halobatrachus didactylus,311,osteichthyen,Batrachoidiformes,Batrachoididae,Halobatrachus,LC,37.5,Benthic,NA,1,0,0,1,2,1,0,http://fishbase.org/summary/Halobatrachus-didactylus.html
Halosaurus ovenii,21,osteichthyen,Albuliformes,Halosauridae,Halosaurus,LC,45,Demersal,NA,1,0,1,0,1,1,0,http://fishbase.org/summary/Halosaurus-ovenii.html
Helicolenus dactylopterus,611,osteichthyen,Scorpaeniformes,Sebastidae,Helicolenus,LC,30,Benthic,NA,1,0,0,1,2,1,0,http://fishbase.org/summary/Helicolenus-dactylopterus.html
Hemiramphus far,146,osteichthyen,Beloniformes,Hemiramphidae,Hemiramphus,NA,30,Pelagic,NA,1,0,1,0,0,1,0,http://fishbase.org/summary/Hemiramphus-far.html
Heniochus intermedius,147,osteichthyen,Perciformes,Chaetodontidae,Heniochus,LC,14,Demersal,NA,0,0,1,0,1,1,0,http://fishbase.org/summary/Heniochus-intermedius.html
Heptranchias perlo,312,chondrichtyen,Hexanchiformes,Hexanchiidae,Heptranchias,NT,120,Demersal,NA,1,1,1,0,0,1,0,http://fishbase.org/summary/Heptranchias-perlo.html
Herklotsichthys punctatus,148,osteichthyen,Clupeiformes,Clupeidae,Herklotsichthys,LC,7,Pelagic,NA,0,0,1,0,5,1,0,http://fishbase.org/summary/Herklotsichthys-punctatus.html
Hexanchus griseus,313,chondrichtyen,Hexanchiformes,Hexanchiidae,Hexanchus,NT,400,Pelagic,NA,1,1,1,0,20,1,0,http://fishbase.org/summary/Hexanchus-griseus.html
Himantura uarnak,149,chondrichtyen,Rajiformes,Dasyatidae,Himantura,EN,100,Benthic,NA,1,1,0,1,16,1,0,http://fishbase.org/summary/Himantura-uarnak.html
Hippocampus fuscus,150,osteichthyen,Syngnathiformes,Syngnatidae,Hippocampus,NA,12,Demersal,NA,0,0,1,0,0,1,0,http://fishbase.org/summary/Hippocampus-fuscus.html
Hippocampus guttulatus,315,osteichthyen,Syngnathiformes,Syngnathidae,Hippocampus,DD,12,Benthic,NA,0,0,0,1,11,1,0,http://fishbase.org/summary/Hippocampus-guttulatus.html
Hippocampus hippocampus,314,osteichthyen,Syngnathiformes,Syngnathidae,Hippocampus,DD,10,Benthic,NA,0,0,0,1,16,1,0,http://fishbase.org/summary/Hippocampus-hippocampus.html
Hoplostethus mediterraneus,316,osteichthyen,Beryciformes,Trachichthyidae,Hoplostethus,LC,20,Demersal,NA,1,0,1,0,1,1,0,http://fishbase.org/summary/Hoplostethus-mediterraneus.html
Huso huso,79,osteichthyen,Acipenseriformes,Acipenseridae,Huso,CR,200,Demersal,NA,1,0,1,0,0,1,0,http://fishbase.org/summary/Huso-huso.html
Hygophum benoiti,547,osteichthyen,Myctophiformes,Myctophidae,Hygophum,LC,5,Pelagic,NA,0,0,1,0,3,1,0,http://fishbase.org/summary/Hygophum-benoiti.html
Hygophum hygomii,548,osteichthyen,Myctophiformes,Myctophidae,Hygophum,LC,6,Pelagic,NA,0,0,1,0,3,1,0,http://fishbase.org/summary/Hygophum-hygomii.html
Hymenocephalus italicus,571,osteichthyen,Gadiformes,Macrouridae,Hymenocephalus,LC,NA,Demersal,NA,1,0,1,0,1,1,0,http://fishbase.org/summary/Hymenocephalus-italicus.html
Hypleurochilus bananensis,317,osteichthyen,Perciformes,Blenniidae,Hypleurochilus,LC,8.5,Benthic,NA,0,0,0,1,4,1,0,http://fishbase.org/summary/Hypleurochilus-bananensis.html
Hyporhamphus affinis,151,osteichthyen,Beloniformes,Hemiramphidae,Hyporhamphus,NA,25,Pelagic,NA,1,0,1,0,21,1,0,http://fishbase.org/summary/Hyporhamphus-affinis.html
Hyporhamphus picarti,318,osteichthyen,Beloniformes,Hemiramphidae,Hyporhamphus,LC,16,Pelagic,NA,0,0,1,0,0,1,0,http://fishbase.org/summary/Hyporhamphus-picarti.html
Hyporthodus haifensis,294,osteichthyen,Perciformes,Serranidae,Hyporthodus,LC,75,Demersal,NA,1,0,1,0,0,1,0,http://fishbase.org/summary/Hyporthodus-haifensis.html
Ichthyococcus ovatus,526,osteichthyen,Stomiiformes,Photichthyidae,Ichthyococcus,LC,5,Pelagic,NA,0,0,1,0,5,1,0,http://fishbase.org/summary/Ichthyococcus-ovatus.html
Iniistius pavo,635,osteichthyen,Perciformes,Labridae,Iniistius,LC,8,Benthic,NA,1,0,0,1,6,1,0,http://fishbase.org/summary/Iniistius-pavo.html
Istiophorus albicans,78,osteichthyen,Perciformes,Istiophoridae,Istiophorus ,NA,240,Pelagic,NA,1,0,1,0,0,1,0,https://www.fishbase.de/summary/Istiophorus-albicans.html
Isurus oxyrinchus,319,chondrichtyen,Lamniformes,Lamnidae,Isurus,EN,300,Pelagic,NA,1,1,1,0,0,1,0,http://fishbase.org/summary/Isurus-oxyrinchus.html
Jaydia queketti,630,osteichthyen,Perciformes,Apogonidae,Jaydia,NA,8,Demersal,NA,0,0,1,0,1,1,0,http://fishbase.org/summary/Apogon-queketti.html
Jaydia smithi,631,osteichthyen,Perciformes,Apogonidae,Jaydia,NA,6,Demersal,NA,0,0,1,0,1,1,0,http://fishbase.org/summary/Apogon-smithi.html
Kajikia albida,472,osteichthyen,Perciformes,Istiophoridae,Kajikia,VU,200,Pelagic,NA,1,0,1,0,3,1,0,http://fishbase.org/summary/Tetrapturus-albidus.html
Katsuwonus pelamis,320,osteichthyen,Perciformes,Scombridae,Katsuwonus,LC,80,Pelagic,NA,1,0,1,0,3,1,0,http://fishbase.org/summary/Katsuwonus-pelamis.html
Knipowitschia panizzae,80,osteichthyen,Perciformes,Gobiidae,Knipowitschia,LC,3.3,Benthic,NA,0,0,0,1,0,1,0,http://fishbase.org/summary/Knipowitschia-panizzae.html
Kyphosus sectatrix,591,osteichthyen,Perciformes,Kyphosidae,Kyphosus,LC,55,Demersal,NA,1,0,1,0,30,1,0,http://fishbase.org/summary/Kyphosus-sectatrix.html
Labrus merula,322,osteichthyen,Perciformes,Labridae,Labrus,LC,35,Benthic,NA,1,0,0,1,6,1,0,http://fishbase.org/summary/Labrus-merula.html
Labrus mixtus,321,osteichthyen,Perciformes,Labridae,Labrus,LC,32.5,Benthic,NA,1,0,0,1,6,1,0,http://fishbase.org/summary/Labrus-mixtus.html
Labrus viridis,323,osteichthyen,Perciformes,Labridae,Labrus,VU,35,Benthic,NA,1,0,0,1,6,1,0,http://fishbase.org/summary/Labrus-viridis.html
Lagocephalus lagocephalus,23,osteichthyen,Tetraodontiformes,Tetraodontidae,Lagocephalus,LC,50,Pelagic,NA,1,0,1,0,3,1,0,http://fishbase.org/summary/Lagocephalus-lagocephalus.html
Lagocephalus sceleratus,152,osteichthyen,Tetraodontiformes,Tetraodontidae,Lagocephalus,LC,40,Benthic,NA,1,0,0,1,0,1,0,http://fishbase.org/summary/Lagocephalus-sceleratus.html
Lagocephalus spadiceus,153,osteichthyen,Tetraodontiformes,Tetraodontidae,Lagocephalus,LC,20,Pelagic,NA,1,0,1,0,7,1,0,http://fishbase.org/summary/Lagocephalus-spadiceus.html
Lagocephalus suezensis,154,osteichthyen,Tetraodontiformes,Tetraodontidae,Lagocephalus,LC,11,Demersal,NA,0,0,1,0,1,1,0,http://fishbase.org/summary/Lagocephalus-suezensis.html
Lampanyctus crocodilus,549,osteichthyen,Myctophiformes,Myctophidae,Lampanyctus,LC,20,Pelagic,NA,1,0,1,0,3,1,0,http://fishbase.org/summary/Lampanyctus-crocodilus.html
